| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| people       | identities                  | 1                | people_id                                         | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | identities                  | people_id               |
| people       | identities                  | 2                | neuron360_profile_id                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 3                | first_name                                        | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 4                | last_name                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 5                | full_name                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 6                | picture_url                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 7                | last_modified_date                                | timestamp without time zone |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 8                | last_seen_date                                    | timestamp without time zone |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | identities                  | 9                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | identities                  | 10               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | job_functions               | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | job_functions               | id                      |
| people       | job_functions               | 2                | experience_id                                     | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | experiences                 | id                      |
| people       | job_functions               | 3                | level1_code                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | job_functions               | 4                | level1_name                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | job_functions               | 5                | level1_confidence_score                           | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | job_functions               | 6                | level2_code                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | job_functions               | 7                | level2_name                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | job_functions               | 8                | level2_confidence_score                           | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
